,sfs_l21,grafting,Alpha_investing,osfs,saola
orlraws10P,0.96,0.9,0.75,0.56,0.62
pixraw10P,0.97,0.95,0.93,0.7,0.89
warpPIE10P,1.0,0.972,0.931,0.781,0.517
ALLAML,1.0,0.959048,0.652381,0.985714,0.959047619
GLIOMA,0.845909091,0.742727273,0.571818,0.623181818,0.639545455
Lung_Cancer,0.88662049,0.891120177,0.846450252,0.875479151,0.867091278
Prostate_GE,0.940952381,0.931428571,0.940952,0.940476191,0.950952381
SMK_CAN_187,0.807681366,0.731863442,0.700711,0.7,0.780654339
TOX_171,0.695182073,0.537789661,0.66710466,0.543020117,0.583880825
arcene,0.904828017511,0.845040650407,0.684606003752,0.765009380863,0.820284552846
PCMAC,0.888354674239,0.765790714378,0.850769434631,0.825005534841,0.85848817637
RELATHE,0.851393953218,0.80437366192,0.829681279926,0.847124434745,0.799547484885
