,sfs_l21,grafting,osfs,Alpha_investing,saola
10,0.91619047619,0.902857142857,0.900952380952,0.652380952381,0.985714285714
20,0.91619047619,0.902857142857,0.917142857143,0.652380952381,0.972380952381
30,1.0,0.930476190476,0.972380952381,0.652380952381,1.0
40,1.0,0.930476190476,0.972380952381,0.652380952381,0.985714285714
50,1.0,0.930476190476,0.972380952381,0.652380952381,0.973333333333
60,1.0,0.930476190476,0.932380952381,0.652380952381,0.986666666667
70,1.0,0.930476190476,0.959047619048,0.652380952381,1.0
80,1.0,0.930476190476,0.985714285714,0.652380952381,1.0
90,1.0,0.930476190476,0.985714285714,0.652380952381,0.986666666667
100,1.0,0.930476190476,0.985714285714,0.652380952381,0.959047619048
