,sfs_l21,grafting,osfs,Alpha_investing,saola
10,0.93795751634,0.820800653595,0.773480392157,0.898790849673,0.842761437908
20,0.93795751634,0.880441176471,0.904803921569,0.951944444444,0.964624183007
30,0.93795751634,0.880441176471,0.893039215686,0.964444444444,0.974901960784
40,0.93795751634,0.880441176471,0.893039215686,0.951944444444,0.926192810458
50,0.93795751634,0.880441176471,0.893039215686,0.951944444444,0.902581699346
60,0.93795751634,0.880441176471,0.893039215686,0.951944444444,0.924803921569
70,0.93795751634,0.880441176471,0.893039215686,0.951944444444,0.940359477124
80,0.93795751634,0.880441176471,0.893039215686,0.939444444444,0.929983660131
90,0.93795751634,0.880441176471,0.893039215686,0.939444444444,0.952859477124
100,0.93795751634,0.880441176471,0.893039215686,0.939444444444,0.9875
