,sfs_l21,grafting,osfs,Alpha_investing,saola
10,0.626610644258,0.508021390374,0.603743315508,0.626778711485,0.438293863
20,0.626610644258,0.525500381971,0.449712248536,0.620896358543,0.485373058314
30,0.615202444614,0.513903743316,0.550445632799,0.632324929972,0.491285968933
40,0.615202444614,0.519607843137,0.522062643239,0.632324929972,0.531749427044
50,0.615202444614,0.519607843137,0.569508530685,0.632324929972,0.596002037179
60,0.649289533995,0.549050165521,0.538859180036,0.655339954163,0.549941431118
70,0.695182072829,0.549050165521,0.538859180036,0.655339954163,0.621263050675
80,0.695182072829,0.572411510059,0.538859180036,0.667104660046,0.679078176725
90,0.695182072829,0.537789661319,0.579898141075,0.667104660046,0.647756557168
100,0.695182072829,0.537789661319,0.579898141075,0.667104660046,0.583880825057
