,sfs_l21,grafting,osfs,Alpha_investing,saola
10,0.706944444444,0.847777777778,0.510833333333,0.485833333333,0.576388888889
20,0.735833333333,0.827222222222,0.59,0.485833333333,0.706666666667
30,0.735833333333,0.827222222222,0.549722222222,0.485833333333,0.594722222222
40,0.735833333333,0.827222222222,0.549722222222,0.485833333333,0.639166666667
50,0.735833333333,0.827222222222,0.658055555556,0.485833333333,0.643333333333
60,0.735833333333,0.827222222222,0.658055555556,0.485833333333,0.676944444444
70,0.735833333333,0.827222222222,0.658055555556,0.485833333333,0.724444444444
80,0.735833333333,0.827222222222,0.658055555556,0.485833333333,0.728888888889
90,0.735833333333,0.831388888889,0.658055555556,0.485833333333,0.744166666667
100,0.735833333333,0.831388888889,0.691666666667,0.485833333333,0.704722222222
