,sfs_l21,grafting,osfs,Alpha_investing,saola
10,0.818497389357,0.867049245895,0.827532542141,0.896137193304,0.827532542141
100,0.842299402243,0.920544453656,,0.944951714007,0.910538199747
20,0.842299402243,0.910985717818,0.832194467472,0.930422502436,0.931143447213
30,0.842299402243,0.915416248527,0.852532542141,0.935422502436,0.925544453656
40,0.842299402243,0.920544453656,0.887318163969,0.935300551217,0.911498538331
50,0.842299402243,0.920544453656,0.877189958841,0.935300551217,0.866828613814
60,0.842299402243,0.920544453656,0.837799714938,0.935300551217,0.926027749902
70,0.842299402243,0.920544453656,0.818724275347,0.940300551217,0.886340808936
80,0.842299402243,0.920544453656,0.833480372907,0.940300551217,0.906021495993
90,0.842299402243,0.920544453656,0.846956818942,0.940300551217,0.910544453656
