,sfs_l21,grafting,osfs,Alpha_investing,saola
ALLAML,0.958095238095,0.739047619048,0.945714285714,0.6,0.862857142857
DLBCL,0.872380952381,0.858095238095,0.823333333333,,0.845595238095
GLIOMA,0.470454545455,0.528636363636,0.634545454545,0.381818181818,0.612727272727
GLI_85,0.765032679739,0.789950980392,0.846895424837,0.74362745098,0.880800653595
Lung_Cancer,0.807398083104,0.763316389604,0.773926145702,0.743053725439,0.811309539392
Prostate_GE,0.882857142857,0.871428571429,0.83380952381,0.902380952381,0.892857142857
SMK_CAN_187,0.571977240398,0.56586059744,0.588051209104,0.63627311522,0.7
SRBCT,0.829787581699,0.670326797386,0.789705882353,0.753774509804,0.836094771242
TOX_171,0.432212885154,0.438461930227,0.520519480519,0.502852049911,0.421161191749
colon,0.75641025641,0.724358974359,0.835897435897,0.758974358974,0.869230769231
lung,0.783112773972,0.8228983958,0.782938028128,0.826181334264,0.841414474163
lymphoma,0.639166666667,0.511388888889,0.6325,0.485833333333,0.638333333333
