,sfs_l21,grafting,osfs,Alpha_investing,saola
ALLAML,0.985714285714,0.959047619048,0.985714285714,0.652380952381,0.985714285714
DLBCL,0.95,0.9375,0.925,,0.95
GLIOMA,0.857272727273,0.619545454545,0.735909090909,0.649545454545,0.661363636364
GLI_85,0.988235294118,0.918954248366,0.953594771242,0.929330065359,0.917565359477
Lung_Cancer,0.936284160158,0.90627790625,0.91172542432,0.911120176855,0.89639360356
Prostate_GE,0.950952380952,0.921904761905,0.931904761905,0.96,0.950476190476
SMK_CAN_187,0.88307254623,0.705832147937,0.705263157895,0.700426742532,0.754196301565
SRBCT,0.951290849673,0.829509803922,0.917303921569,0.929068627451,0.926846405229
TOX_171,0.795253374077,0.637504456328,0.586106442577,0.64926916221,0.574331550802
colon,0.820512820513,0.983333333333,0.820512820513,0.821794871795,0.869230769231
lung,0.906143447213,0.910893290865,0.87207426153,0.940678912693,0.901841121631
lymphoma,0.769166666667,0.801666666667,0.676111111111,0.485833333333,0.636666666667
