,sfs_l21,grafting,osfs,Alpha_investing,saola
ALLAML,0.930476190476,0.874285714286,0.917142857143,0.586666666667,0.959047619048
DLBCL,0.925,0.885714285714,0.924166666667,,0.949166666667
GLIOMA,0.689545454545,0.518181818182,0.764545454545,0.423636363636,0.650909090909
GLI_85,0.846078431373,0.893218954248,0.882189542484,0.858578431373,0.941094771242
Lung_Cancer,0.891492284422,0.823345913871,0.84788137935,0.797263624067,0.87231191006
Prostate_GE,0.901904761905,0.882857142857,0.892380952381,0.892380952381,0.960476190476
SMK_CAN_187,0.658605974395,0.582361308677,0.672972972973,0.619772403983,0.7106685633
SRBCT,0.828300653595,0.747826797386,0.893039215686,0.902401960784,0.926192810458
TOX_171,0.607756557168,0.513618538324,0.543356251592,0.595813598167,0.567430608607
colon,0.823076923077,0.724358974359,0.819230769231,0.757692307692,0.884615384615
lung,0.831792835639,0.866956818942,0.866811597365,0.906271652341,0.877759428131
lymphoma,0.686666666667,0.603055555556,0.631666666667,0.469166666667,0.684444444444
