,sfs_l21,grafting,osfs,Alpha_investing,saola
10,0.822380952381,0.861428571429,0.794285714286,0.812857142857,0.784285714286
20,0.822380952381,0.861428571429,0.794285714286,0.812857142857,0.82380952381
30,0.930476190476,0.862380952381,0.901904761905,0.812857142857,0.901904761905
40,0.930476190476,0.862380952381,0.930952380952,0.832380952381,0.910952380952
50,0.940952380952,0.931428571429,0.930952380952,0.921428571429,0.950952380952
60,0.940952380952,0.931428571429,0.930952380952,0.921428571429,0.950952380952
70,0.940952380952,0.931428571429,0.930952380952,0.921428571429,0.950952380952
80,0.940952380952,0.931428571429,0.941428571429,0.921428571429,0.931428571429
90,0.940952380952,0.931428571429,0.940476190476,0.940952380952,0.950476190476
100,0.940952380952,0.931428571429,0.940476190476,0.940952380952,0.950952380952
