,sfs_l21,grafting,osfs,Alpha_investing,saola
10,0.671210131332,0.674709193246,0.748989993746,0.719740462789,0.730490931832
20,0.724984365228,0.63969043152,0.72461851157,0.714484052533,0.770888055034
30,0.710728580363,0.653952470294,0.759752970607,0.699740462789,0.744881175735
40,0.760509693558,0.675587867417,0.804405878674,0.684484052533,0.775894308943
50,0.781022514071,0.66420888055,0.804405878674,0.700112570356,0.814790494059
60,0.77550343965,0.665209505941,0.804405878674,0.689111944966,0.799521575985
70,0.770625390869,0.639824890557,0.804405878674,0.695100062539,0.779887429644
80,0.770625390869,0.665472170106,0.774881175735,0.699612257661,0.779387116948
90,0.770625390869,0.651081926204,0.774881175735,0.679477798624,0.80490619137
100,0.770625390869,0.640203252033,0.765009380863,0.684606003752,0.820284552846
