,sfs_l21,grafting,osfs,Alpha_investing,saola
10,0.754141020056,0.742604622387,0.76568499334,0.723486297608,0.706461367525
20,0.766692550015,0.762156019772,0.817883499681,0.793271592078,0.737058010265
30,0.794274098344,0.798800527768,0.863029109297,0.857983750308,0.759644703699
40,0.82841486588,0.806823103098,0.874545305329,0.884079215671,0.754639747985
50,0.829404746122,0.813346969439,0.883076709406,0.89211189182,0.834414752246
60,0.841460073357,0.813346969439,0.886590531745,0.89110686035,0.847958687651
70,0.876069266365,0.848986445964,0.902663459657,0.91017720624,0.90315966238
80,0.876069266365,0.848986445964,0.903167237994,0.909172174769,0.902658409247
90,0.876069266365,0.848986445964,0.910688560191,0.911683490843,0.902157156114
100,0.876069266365,0.848986445964,0.914204907735,0.913696078988,0.902658409247
