,sfs_l21,grafting,osfs,Alpha_investing,saola
10,0.668035073699,0.664954188913,0.670604463073,0.691211100669,0.664954188913
20,0.699408291864,0.696840227591,0.709722857024,0.763267574394,0.715911053849
30,0.699408291864,0.696840227591,0.731339254832,0.776139603027,0.722084715345
40,0.703025774215,0.70406198886,0.735971811385,0.77924294656,0.722091340845
50,0.738543850958,0.736998763919,0.782827416932,0.800318771503,0.745744471785
60,0.738543850958,0.736998763919,0.794659262415,0.842030352266,0.831734338507
70,0.757066160546,0.746245379988,0.804944736533,0.843041471554,0.845099365515
80,0.777643741077,0.765790714378,0.81779962041,0.844079004503,0.845099365515
90,0.777643741077,0.765790714378,0.823464429898,0.844081647908,0.847672709802
100,0.777643741077,0.765790714378,0.825005534841,0.850769434631,0.85848817637
