dataset,sfs_l21,grafting,osfs,Alpha_investing,saola
orlraws10P,1592.062,22.809,1.2355,1.0819,1.3696
warpPIE10P,434.753,9.344,0.4699,0.4863,0.3731
pixraw10P,1332.355,11.217,2.1593,1.0279,2.3035
ALLAML,3.903,1.547,2.1758,0.4441,1.4732
GLIOMA,9.25,1.652,1.2032,0.2146,1.6757
Lung_Cancer,46.392,6.336,5.644,3.3365,4.3222
Prostate_GE,3.119,1.291,0.9217,0.5154,0.9738
SMK_CAN_187,14.64,4.404,2.6992,3.7182,2.9772
TOX_171,12.985,3.725,1.7036,1.3135,1.5403
arcene,8.014,8.678,4.0152,1.0898,2.6033
PCMAC,55.892,7.5456,89.0928,36.7074,1.1121
RELATHE,83.148,10.4996,306.4033,33.2672,1.6695
